코드,업종,관리직,전문직,사무직,서비스직,판매직,생산직,단순직
38 , 폐기물 수집운반· 처리 및 원료재생업,0.6184 ,0.6222 ,0.6405 ,0.5641 ,0.6386 ,0.5647 ,0.5711 
39 , 환경 정화 및 복원업,.,0.6296 ,.,.,.,.,0.6027 
41 , 종합 건설업,0.6287 ,0.6228 ,0.6408 ,0.5674 ,0.6386 ,0.5613 ,0.5728 
42 , 전문직별 공사업,0.6184 ,0.6175 ,0.6391 ,0.5670 ,0.6281 ,0.5644 ,0.5561 
45 , 자동차 및 부품 판매업,0.6333 ,0.6137 ,0.6389 ,.,0.6281 ,0.5718 ,0.5756 
46 , 도매 및 상품 중개업,0.6234 ,0.6225 ,0.6408 ,0.5670 ,0.6203 ,0.5664 ,0.5691 
47 , 소매업 ; 자동차 제외,0.6333 ,0.6197 ,0.6403 ,0.5700 ,0.6203 ,0.5677 ,0.5743 
49 , 육상 운송 및 파이프라인 운송업,0.6333 ,0.6215 ,0.6403 ,0.5864 ,0.6249 ,0.5712 ,0.5731 
50 , 수상 운송업,.,0.6174 ,0.6405 ,.,.,0.5663 ,.
51 , 항공 운송업,0.6333 ,0.6052 ,0.6379 ,0.5883 ,0.6112 ,0.5752 ,0.5501 
52 , 창고 및 운송관련 서비스업,0.6333 ,0.6235 ,0.6407 ,0.5796 ,0.6281 ,0.5708 ,0.5767 
55 , 숙박업,0.6026 ,0.6160 ,0.6374 ,0.5800 ,0.6155 ,0.5596 ,0.5802 
56 , 음식점 및 주점업,0.6026 ,0.6145 ,0.6397 ,0.5871 ,0.6155 ,0.5723 ,0.5744 
58 , 출판업,0.6408 ,0.6229 ,0.6389 ,0.5708 ,0.6249 ,0.5807 ,0.5745 
59 , 영상ㆍ오디오 기록물 제작 및 배급업,.,0.6161 ,0.6393 ,.,0.6112 ,.,0.5802 
60 , 방송업,0.6343 ,0.6218 ,0.6397 ,.,.,0.5646 ,0.5802 
61 , 우편 및 통신업,0.6495 ,0.6221 ,0.6378 ,.,0.6281 ,0.5733 ,0.5867 
62 , 컴퓨터 프로그래밍· 시스템 통합 및 관리업,0.6495 ,0.6221 ,0.6380 ,0.5883 ,.,0.5808 ,.
63 , 정보서비스업,.,0.6208 ,0.6397 ,.,0.6346 ,.,.
64 , 금융업,0.6472 ,0.6238 ,0.6399 ,0.5708 ,0.6281 ,0.5494 ,0.5802 
65 , 보험 및 연금업,0.6478 ,0.6277 ,0.6389 ,0.5861 ,0.6366 ,0.5711 ,0.5877 
66 , 금융 및 보험관련 서비스업,0.6483 ,0.6328 ,0.6411 ,.,0.6366 ,.,0.5798 
68 , 부동산업,0.6154 ,0.6236 ,0.6391 ,0.6082 ,0.6203 ,0.5650 ,0.5752 
70 , 연구개발업,0.6353 ,0.6225 ,0.6407 ,0.5674 ,.,0.5685 ,0.5700 
71 , 전문서비스업,0.6430 ,0.6247 ,0.6403 ,0.5641 ,0.6281 ,0.5718 ,0.5666 
72 , 건축 기술· 엔지니어링 및 기타 과학기술 서비스업,0.6154 ,0.6217 ,0.6398 ,.,0.6386 ,0.5689 ,0.5496 
73 , 기타 전문· 과학 및 기술 서비스업,0.6399 ,0.6179 ,0.6408 ,0.5808 ,.,0.5609 ,0.5496 
74 , 사업시설 관리 및 조경 서비스업,0.6123 ,0.6180 ,0.6405 ,0.5870 ,0.6249 ,0.5661 ,0.5752 
75 , 사업지원 서비스업,0.6198 ,0.6217 ,0.6387 ,0.5838 ,0.6203 ,0.5668 ,0.5719 
76 , 임대업 ; 부동산 제외 ,.,.,0.6383 ,0.6033 ,0.6194 ,0.5687 ,0.5498 
84 , 공공 행정· 국방 및 사회보장 행정,0.6476 ,0.6195 ,0.6394 ,0.5868 ,0.6098 ,0.5634 ,0.5743 
85 , 교육 서비스업,0.6343 ,0.6216 ,0.6397 ,0.5836 ,0.6177 ,0.5666 ,0.5726 
86 , 보건업,0.6357 ,0.6227 ,0.6394 ,0.5775 ,0.6203 ,0.5671 ,0.5770 
87 , 사회족비 서비스업,0.6303 ,0.6161 ,0.6391 ,0.5815 ,0.6112 ,0.5649 ,0.5768 
90 , 창작· 예술 및 여가관련 서비스업,0.6343 ,0.6167 ,0.6391 ,0.5813 ,0.6170 ,0.5661 ,0.5669 
91 , 스포츠 및 오락관련 서비스업,0.6026 ,0.6167 ,0.6389 ,0.5850 ,0.6229 ,0.5573 ,0.5713 
94 , 협회 및 단체,0.6427 ,0.6266 ,0.6386 ,0.5838 ,0.6228 ,0.5725 ,0.5760 
95 , 개인 및 소비용품 수리업,0.6495 ,0.6250 ,0.6389 ,.,0.6249 ,0.5694 ,0.5738 
96 , 기타 개인 서비스업,0.6026 ,0.6113 ,0.6391 ,0.5844 ,0.6281 ,0.5696 ,0.5719 
97 , 가구내 고용활동,.,.,.,0.5861 ,.,.,0.5627 
99 , 국제 및 외국기관,.,0.6401 ,0.6344 ,.,.,0.5676 ,.
